Unnamed: 0,time,CO,PM10,PM25,NO2,NO,NOX,ville,O3
2025-01-01 01:00:00Z,,18.8,12.1,26.7,38.2,85.2,,Autoroute A1 - Saint-Denis,
2025-01-01 02:00:00Z,,23.9,13.8,23.9,31.4,71.9,,Autoroute A1 - Saint-Denis,
2025-01-01 03:00:00Z,,22.3,10.0,22.3,26.7,63.6,,Autoroute A1 - Saint-Denis,
2025-01-01 04:00:00Z,,17.5,10.4,19.3,26.7,60.2,,Autoroute A1 - Saint-Denis,
2025-01-01 05:00:00Z,,24.4,14.9,22.8,34.6,75.9,,Autoroute A1 - Saint-Denis,
2025-01-01 06:00:00Z,,14.6,13.0,34.7,26.7,75.6,,Autoroute A1 - Saint-Denis,
2025-01-01 07:00:00Z,,16.7,9.1,36.4,27.7,78.8,,Autoroute A1 - Saint-Denis,
2025-01-01 08:00:00Z,,17.6,10.6,24.3,21.4,57.1,,Autoroute A1 - Saint-Denis,
2025-01-01 09:00:00Z,,14.9,12.1,20.6,20.5,51.9,,Autoroute A1 - Saint-Denis,
2025-01-01 10:00:00Z,,17.0,10.8,28.0,27.1,69.4,,Autoroute A1 - Saint-Denis,
2025-01-01 11:00:00Z,,16.6,8.0,21.1,23.4,57.0,,Autoroute A1 - Saint-Denis,
2025-01-01 12:00:00Z,,19.9,8.4,21.3,23.5,57.4,,Autoroute A1 - Saint-Denis,
2025-01-01 13:00:00Z,,19.5,10.7,22.7,29.9,68.5,,Autoroute A1 - Saint-Denis,
2025-01-01 14:00:00Z,,19.6,9.9,25.3,34.6,78.3,,Autoroute A1 - Saint-Denis,
2025-01-01 15:00:00Z,,19.7,10.3,24.9,31.2,72.7,,Autoroute A1 - Saint-Denis,
2025-01-01 16:00:00Z,,18.6,11.6,24.3,29.1,68.8,,Autoroute A1 - Saint-Denis,
2025-01-01 17:00:00Z,,22.3,11.2,23.3,29.5,68.7,,Autoroute A1 - Saint-Denis,
2025-01-01 18:00:00Z,,22.4,10.7,23.6,27.1,65.0,,Autoroute A1 - Saint-Denis,
2025-01-01 19:00:00Z,,21.7,12.5,21.3,21.3,53.9,,Autoroute A1 - Saint-Denis,
2025-01-01 20:00:00Z,,22.9,12.5,21.8,23.5,57.7,,Autoroute A1 - Saint-Denis,
2025-01-01 21:00:00Z,,20.0,13.9,18.7,21.1,51.0,,Autoroute A1 - Saint-Denis,
2025-01-01 22:00:00Z,,21.2,14.9,15.8,16.5,41.1,,Autoroute A1 - Saint-Denis,
2025-01-01 23:00:00Z,,19.3,14.0,13.7,11.1,30.8,,Autoroute A1 - Saint-Denis,
2025-01-02 00:00:00Z,,16.4,10.1,10.8,10.2,26.5,,Autoroute A1 - Saint-Denis,
2025-01-02 01:00:00Z,,14.2,8.4,10.3,9.3,24.6,,Autoroute A1 - Saint-Denis,
2025-01-02 02:00:00Z,,8.9,8.9,15.4,14.2,36.8,,Autoroute A1 - Saint-Denis,
2025-01-02 03:00:00Z,,5.9,6.8,17.1,10.3,32.8,,Autoroute A1 - Saint-Denis,
2025-01-02 04:00:00Z,,8.8,4.9,24.7,14.2,46.4,,Autoroute A1 - Saint-Denis,
2025-01-02 05:00:00Z,,8.0,5.5,42.4,27.3,84.2,,Autoroute A1 - Saint-Denis,
2025-01-02 06:00:00Z,,11.0,13.0,60.8,56.6,147.6,,Autoroute A1 - Saint-Denis,
2025-01-02 07:00:00Z,,7.3,9.8,44.9,51.1,123.3,,Autoroute A1 - Saint-Denis,
2025-01-02 08:00:00Z,,6.7,8.5,41.8,44.3,109.6,,Autoroute A1 - Saint-Denis,
2025-01-02 09:00:00Z,,11.3,6.6,52.3,63.0,149.0,,Autoroute A1 - Saint-Denis,
2025-01-02 10:00:00Z,,25.0,20.5,70.8,110.1,239.5,,Autoroute A1 - Saint-Denis,
2025-01-02 11:00:00Z,,35.3,22.0,74.9,130.3,274.8,,Autoroute A1 - Saint-Denis,
2025-01-02 12:00:00Z,,14.5,14.7,68.4,121.2,254.1,,Autoroute A1 - Saint-Denis,
2025-01-02 13:00:00Z,,23.3,18.1,65.8,107.1,230.1,,Autoroute A1 - Saint-Denis,
2025-01-02 14:00:00Z,,26.8,15.4,64.1,103.2,222.3,,Autoroute A1 - Saint-Denis,
2025-01-02 15:00:00Z,,16.5,15.4,54.4,72.6,165.7,,Autoroute A1 - Saint-Denis,
2025-01-02 16:00:00Z,,16.5,12.5,50.2,61.4,144.5,,Autoroute A1 - Saint-Denis,
2025-01-02 17:00:00Z,,16.9,11.1,43.7,54.9,128.0,,Autoroute A1 - Saint-Denis,
2025-01-02 18:00:00Z,,18.2,14.4,47.7,76.8,165.5,,Autoroute A1 - Saint-Denis,
2025-01-02 19:00:00Z,,22.6,15.8,49.5,68.2,154.0,,Autoroute A1 - Saint-Denis,
2025-01-02 20:00:00Z,,26.5,19.5,48.7,82.0,174.4,,Autoroute A1 - Saint-Denis,
2025-01-02 21:00:00Z,,35.4,26.1,49.0,68.1,153.4,,Autoroute A1 - Saint-Denis,
2025-01-02 22:00:00Z,,28.4,23.3,44.9,60.8,138.0,,Autoroute A1 - Saint-Denis,
2025-01-02 23:00:00Z,,34.3,26.8,56.0,99.6,208.5,,Autoroute A1 - Saint-Denis,
2025-01-03 00:00:00Z,,26.4,18.9,49.6,83.9,178.1,,Autoroute A1 - Saint-Denis,
2025-01-03 01:00:00Z,,31.1,22.4,45.1,69.4,151.4,,Autoroute A1 - Saint-Denis,
2025-01-03 02:00:00Z,,27.6,22.8,44.3,61.7,138.8,,Autoroute A1 - Saint-Denis,
2025-01-03 03:00:00Z,,26.2,22.7,39.8,59.5,131.1,,Autoroute A1 - Saint-Denis,
2025-01-03 04:00:00Z,,29.6,20.7,41.9,70.5,150.0,,Autoroute A1 - Saint-Denis,
2025-01-03 05:00:00Z,,33.8,27.0,52.7,132.8,256.3,,Autoroute A1 - Saint-Denis,
2025-01-03 06:00:00Z,,33.3,24.4,56.7,148.1,283.7,,Autoroute A1 - Saint-Denis,
2025-01-03 07:00:00Z,,39.5,28.7,66.7,218.1,401.0,,Autoroute A1 - Saint-Denis,
2025-01-03 08:00:00Z,,37.6,28.3,58.2,188.3,346.9,,Autoroute A1 - Saint-Denis,
2025-01-03 09:00:00Z,,38.3,32.7,60.1,209.8,381.6,,Autoroute A1 - Saint-Denis,
2025-01-03 10:00:00Z,,39.4,29.7,58.4,185.3,342.6,,Autoroute A1 - Saint-Denis,
2025-01-03 11:00:00Z,,38.7,31.6,63.1,166.7,318.7,,Autoroute A1 - Saint-Denis,
2025-01-03 12:00:00Z,,41.9,27.0,69.3,166.4,324.5,,Autoroute A1 - Saint-Denis,
2025-01-03 13:00:00Z,,45.8,22.2,60.4,106.4,223.6,,Autoroute A1 - Saint-Denis,
2025-01-03 14:00:00Z,,49.2,45.5,56.8,85.3,187.6,,Autoroute A1 - Saint-Denis,
2025-01-03 15:00:00Z,,57.4,16.6,55.7,83.4,183.6,,Autoroute A1 - Saint-Denis,
2025-01-03 16:00:00Z,,37.4,12.9,60.0,91.1,199.8,,Autoroute A1 - Saint-Denis,
2025-01-03 17:00:00Z,,35.0,17.8,76.1,96.6,224.2,,Autoroute A1 - Saint-Denis,
2025-01-03 18:00:00Z,,31.0,18.2,77.0,83.6,205.1,,Autoroute A1 - Saint-Denis,
2025-01-03 19:00:00Z,,39.6,21.1,86.8,145.6,310.0,,Autoroute A1 - Saint-Denis,
2025-01-03 20:00:00Z,,48.2,33.3,87.1,199.1,392.3,,Autoroute A1 - Saint-Denis,
2025-01-03 21:00:00Z,,54.1,46.0,88.9,230.5,442.3,,Autoroute A1 - Saint-Denis,
2025-01-03 22:00:00Z,,76.6,67.5,82.8,261.1,483.2,,Autoroute A1 - Saint-Denis,
2025-01-03 23:00:00Z,,96.0,85.9,80.9,247.0,459.7,,Autoroute A1 - Saint-Denis,
2025-01-04 00:00:00Z,,101.5,80.3,77.7,314.3,559.7,,Autoroute A1 - Saint-Denis,
2025-01-04 01:00:00Z,,100.5,87.1,82.6,361.8,637.2,,Autoroute A1 - Saint-Denis,
2025-01-04 02:00:00Z,,93.4,78.4,87.7,337.0,604.4,,Autoroute A1 - Saint-Denis,
2025-01-04 03:00:00Z,,80.4,67.8,70.3,237.2,433.9,,Autoroute A1 - Saint-Denis,
2025-01-04 04:00:00Z,,71.2,64.7,58.7,183.2,339.7,,Autoroute A1 - Saint-Denis,
2025-01-04 05:00:00Z,,52.1,54.1,51.7,136.7,261.2,,Autoroute A1 - Saint-Denis,
2025-01-04 06:00:00Z,,43.9,37.1,54.4,122.0,241.4,,Autoroute A1 - Saint-Denis,
2025-01-04 07:00:00Z,,38.2,37.3,54.6,132.7,258.1,,Autoroute A1 - Saint-Denis,
2025-01-04 08:00:00Z,,35.6,30.7,55.3,131.3,256.6,,Autoroute A1 - Saint-Denis,
2025-01-04 09:00:00Z,,41.4,29.7,57.9,140.6,273.5,,Autoroute A1 - Saint-Denis,
2025-01-04 10:00:00Z,,30.9,24.2,53.5,84.7,183.4,,Autoroute A1 - Saint-Denis,
2025-01-04 11:00:00Z,,34.6,20.5,46.3,49.7,122.5,,Autoroute A1 - Saint-Denis,
2025-01-04 12:00:00Z,,45.7,16.9,43.0,41.4,106.5,,Autoroute A1 - Saint-Denis,
2025-01-04 13:00:00Z,,32.9,15.5,37.4,29.1,82.0,,Autoroute A1 - Saint-Denis,
2025-01-04 14:00:00Z,,30.1,11.1,40.7,28.2,83.9,,Autoroute A1 - Saint-Denis,
2025-01-04 15:00:00Z,,27.3,17.4,41.3,26.7,82.2,,Autoroute A1 - Saint-Denis,
2025-01-04 16:00:00Z,,22.0,10.9,42.4,24.1,79.4,,Autoroute A1 - Saint-Denis,
2025-01-04 17:00:00Z,,21.5,10.1,42.2,25.4,81.0,,Autoroute A1 - Saint-Denis,
2025-01-04 18:00:00Z,,22.4,17.3,43.7,29.9,89.6,,Autoroute A1 - Saint-Denis,
2025-01-04 19:00:00Z,,31.0,16.7,45.1,28.1,88.2,,Autoroute A1 - Saint-Denis,
2025-01-04 20:00:00Z,,31.3,19.4,48.4,32.9,98.8,,Autoroute A1 - Saint-Denis,
2025-01-04 21:00:00Z,,23.8,17.9,39.7,23.5,75.8,,Autoroute A1 - Saint-Denis,
2025-01-04 22:00:00Z,,20.3,12.8,37.2,23.2,72.9,,Autoroute A1 - Saint-Denis,
2025-01-04 23:00:00Z,,19.9,16.1,37.3,27.7,79.7,,Autoroute A1 - Saint-Denis,
2025-01-05 00:00:00Z,,16.4,11.7,36.2,27.2,77.9,,Autoroute A1 - Saint-Denis,
2025-01-05 01:00:00Z,,16.5,16.4,43.2,36.5,99.1,,Autoroute A1 - Saint-Denis,
2025-01-05 02:00:00Z,,18.2,14.1,44.7,31.3,92.6,,Autoroute A1 - Saint-Denis,
2025-01-05 03:00:00Z,,4.5,8.7,21.4,15.2,44.5,,Autoroute A1 - Saint-Denis,
2025-01-05 04:00:00Z,,4.1,6.0,12.7,9.6,27.4,,Autoroute A1 - Saint-Denis,
2025-01-05 05:00:00Z,,11.2,4.7,14.6,15.9,39.0,,Autoroute A1 - Saint-Denis,
2025-01-05 06:00:00Z,,7.4,6.5,14.9,14.5,37.1,,Autoroute A1 - Saint-Denis,
2025-01-05 07:00:00Z,,10.5,9.2,15.7,15.1,38.8,,Autoroute A1 - Saint-Denis,
2025-01-05 08:00:00Z,,14.6,6.3,18.9,19.2,48.2,,Autoroute A1 - Saint-Denis,
2025-01-05 09:00:00Z,,13.5,6.4,19.5,21.3,52.1,,Autoroute A1 - Saint-Denis,
2025-01-05 10:00:00Z,,9.8,11.4,21.5,21.8,55.0,,Autoroute A1 - Saint-Denis,
2025-01-05 11:00:00Z,,12.7,8.0,21.6,23.5,57.6,,Autoroute A1 - Saint-Denis,
2025-01-05 12:00:00Z,,12.8,8.1,25.3,28.4,68.8,,Autoroute A1 - Saint-Denis,
2025-01-05 13:00:00Z,,11.5,11.8,23.6,28.0,66.5,,Autoroute A1 - Saint-Denis,
2025-01-05 14:00:00Z,,17.0,13.9,26.3,34.1,78.5,,Autoroute A1 - Saint-Denis,
2025-01-05 15:00:00Z,,18.4,12.9,28.3,34.4,81.1,,Autoroute A1 - Saint-Denis,
2025-01-05 16:00:00Z,,12.9,12.1,30.3,29.5,75.6,,Autoroute A1 - Saint-Denis,
2025-01-05 17:00:00Z,,14.9,11.2,33.7,30.0,79.8,,Autoroute A1 - Saint-Denis,
2025-01-05 18:00:00Z,,19.8,13.2,46.4,40.2,108.8,,Autoroute A1 - Saint-Denis,
2025-01-05 19:00:00Z,,27.1,16.3,50.5,48.9,124.7,,Autoroute A1 - Saint-Denis,
2025-01-05 20:00:00Z,,25.0,16.7,50.1,48.3,124.0,,Autoroute A1 - Saint-Denis,
2025-01-05 21:00:00Z,,23.2,12.8,44.5,31.3,92.4,,Autoroute A1 - Saint-Denis,
2025-01-05 22:00:00Z,,17.0,11.4,36.8,26.7,78.0,,Autoroute A1 - Saint-Denis,
2025-01-05 23:00:00Z,,10.5,9.1,22.5,13.2,42.4,,Autoroute A1 - Saint-Denis,
2025-01-06 00:00:00Z,,8.6,10.6,15.7,8.3,28.0,,Autoroute A1 - Saint-Denis,
2025-01-06 01:00:00Z,,14.4,10.5,19.1,10.5,34.9,,Autoroute A1 - Saint-Denis,
2025-01-06 02:00:00Z,,8.9,9.6,16.0,7.0,26.6,,Autoroute A1 - Saint-Denis,
2025-01-06 03:00:00Z,,9.8,6.7,19.3,9.7,34.2,,Autoroute A1 - Saint-Denis,
2025-01-06 04:00:00Z,,8.4,9.9,26.5,14.3,48.5,,Autoroute A1 - Saint-Denis,
2025-01-06 05:00:00Z,,13.1,7.2,26.6,18.2,55.0,,Autoroute A1 - Saint-Denis,
2025-01-06 06:00:00Z,,14.2,9.9,38.7,32.6,90.0,,Autoroute A1 - Saint-Denis,
2025-01-06 07:00:00Z,,16.9,10.1,50.5,49.1,125.4,,Autoroute A1 - Saint-Denis,
2025-01-06 08:00:00Z,,14.4,10.7,44.8,36.0,99.3,,Autoroute A1 - Saint-Denis,
2025-01-06 09:00:00Z,,15.6,9.7,50.0,39.5,110.9,,Autoroute A1 - Saint-Denis,
2025-01-06 10:00:00Z,,15.1,9.9,31.7,21.3,63.9,,Autoroute A1 - Saint-Denis,
2025-01-06 11:00:00Z,,8.1,7.8,24.9,34.8,79.4,,Autoroute A1 - Saint-Denis,
2025-01-06 12:00:00Z,,14.5,8.4,29.2,43.6,95.8,,Autoroute A1 - Saint-Denis,
2025-01-06 13:00:00Z,,14.1,10.0,32.4,45.9,103.3,,Autoroute A1 - Saint-Denis,
2025-01-06 14:00:00Z,,16.9,10.4,35.6,52.3,114.9,,Autoroute A1 - Saint-Denis,
2025-01-06 15:00:00Z,,16.9,11.4,38.8,57.4,126.6,,Autoroute A1 - Saint-Denis,
2025-01-06 16:00:00Z,,26.9,10.7,50.3,78.4,171.0,,Autoroute A1 - Saint-Denis,
2025-01-06 17:00:00Z,,35.2,12.4,55.8,80.8,180.2,,Autoroute A1 - Saint-Denis,
2025-01-06 18:00:00Z,,34.6,11.8,37.1,50.1,114.0,,Autoroute A1 - Saint-Denis,
2025-01-06 19:00:00Z,,30.2,11.8,36.5,39.1,96.3,,Autoroute A1 - Saint-Denis,
2025-01-06 20:00:00Z,,20.5,8.5,27.4,26.5,68.0,,Autoroute A1 - Saint-Denis,
2025-01-06 21:00:00Z,,19.0,6.4,21.3,21.5,54.2,,Autoroute A1 - Saint-Denis,
2025-01-06 22:00:00Z,,16.8,11.4,21.4,19.3,50.8,,Autoroute A1 - Saint-Denis,
2025-01-06 23:00:00Z,,15.9,12.0,23.0,15.9,47.4,,Autoroute A1 - Saint-Denis,
2025-01-07 00:00:00Z,,11.7,7.2,20.7,9.3,34.9,,Autoroute A1 - Saint-Denis,
2025-01-07 01:00:00Z,,10.7,5.2,15.9,7.6,27.7,,Autoroute A1 - Saint-Denis,
2025-01-07 02:00:00Z,,8.6,9.3,12.2,4.3,18.8,,Autoroute A1 - Saint-Denis,
2025-01-07 03:00:00Z,,8.8,10.5,22.9,10.5,39.0,,Autoroute A1 - Saint-Denis,
2025-01-07 04:00:00Z,,18.0,9.2,23.0,17.9,50.2,,Autoroute A1 - Saint-Denis,
2025-01-07 05:00:00Z,,19.6,8.6,36.3,45.9,106.7,,Autoroute A1 - Saint-Denis,
2025-01-07 06:00:00Z,,27.0,11.1,46.2,72.8,157.8,,Autoroute A1 - Saint-Denis,
2025-01-07 07:00:00Z,,34.4,14.8,57.7,90.9,197.1,,Autoroute A1 - Saint-Denis,
2025-01-07 08:00:00Z,,36.2,15.7,56.9,80.0,179.6,,Autoroute A1 - Saint-Denis,
2025-01-07 09:00:00Z,,38.2,11.1,50.2,82.9,177.4,,Autoroute A1 - Saint-Denis,
2025-01-07 10:00:00Z,,41.6,16.0,56.9,85.6,188.1,,Autoroute A1 - Saint-Denis,
2025-01-07 11:00:00Z,,46.8,11.1,42.3,66.2,143.8,,Autoroute A1 - Saint-Denis,
2025-01-07 12:00:00Z,,31.7,7.9,33.2,45.9,103.6,,Autoroute A1 - Saint-Denis,
2025-01-07 13:00:00Z,,33.4,9.5,31.5,44.1,99.2,,Autoroute A1 - Saint-Denis,
2025-01-07 14:00:00Z,,28.8,7.3,37.5,48.2,111.3,,Autoroute A1 - Saint-Denis,
2025-01-07 15:00:00Z,,32.4,8.3,38.2,51.5,117.0,,Autoroute A1 - Saint-Denis,
2025-01-07 16:00:00Z,,29.8,12.0,36.5,42.2,101.1,,Autoroute A1 - Saint-Denis,
2025-01-07 17:00:00Z,,33.2,10.4,45.2,52.1,125.0,,Autoroute A1 - Saint-Denis,
2025-01-07 18:00:00Z,,34.6,9.6,41.8,48.5,116.2,,Autoroute A1 - Saint-Denis,
2025-01-07 19:00:00Z,,31.7,16.6,41.1,44.2,108.8,,Autoroute A1 - Saint-Denis,
2025-01-07 20:00:00Z,,33.3,11.4,46.2,51.1,124.5,,Autoroute A1 - Saint-Denis,
2025-01-07 21:00:00Z,,34.1,14.0,40.6,47.3,113.2,,Autoroute A1 - Saint-Denis,
2025-01-07 22:00:00Z,,28.4,10.8,37.1,38.9,96.8,,Autoroute A1 - Saint-Denis,
2025-01-07 23:00:00Z,,23.1,11.6,38.2,37.1,95.1,,Autoroute A1 - Saint-Denis,
2025-01-08 00:00:00Z,,21.1,8.7,44.3,50.4,121.7,,Autoroute A1 - Saint-Denis,
2025-01-08 01:00:00Z,,26.8,17.0,39.4,46.3,110.4,,Autoroute A1 - Saint-Denis,
2025-01-08 02:00:00Z,,19.0,11.1,32.1,40.6,94.4,,Autoroute A1 - Saint-Denis,
2025-01-08 03:00:00Z,,24.3,11.5,39.4,46.6,110.7,,Autoroute A1 - Saint-Denis,
2025-01-08 04:00:00Z,,21.5,14.2,36.7,41.8,100.9,,Autoroute A1 - Saint-Denis,
2025-01-08 05:00:00Z,,33.7,14.4,53.3,82.8,180.3,,Autoroute A1 - Saint-Denis,
2025-01-08 06:00:00Z,,29.9,12.2,59.4,91.8,200.1,,Autoroute A1 - Saint-Denis,
2025-01-08 07:00:00Z,,37.2,21.8,71.1,99.9,224.2,,Autoroute A1 - Saint-Denis,
2025-01-08 08:00:00Z,,30.8,16.7,68.6,109.2,236.0,,Autoroute A1 - Saint-Denis,
2025-01-08 09:00:00Z,,21.1,13.0,59.0,60.6,151.8,,Autoroute A1 - Saint-Denis,
2025-01-08 10:00:00Z,,20.0,9.9,55.7,45.1,124.7,,Autoroute A1 - Saint-Denis,
2025-01-08 11:00:00Z,,10.2,6.6,46.8,30.6,93.8,,Autoroute A1 - Saint-Denis,
2025-01-08 12:00:00Z,,16.2,6.7,56.7,49.1,131.8,,Autoroute A1 - Saint-Denis,
2025-01-08 13:00:00Z,,10.9,12.2,55.9,44.4,124.0,,Autoroute A1 - Saint-Denis,
2025-01-08 14:00:00Z,,11.4,8.3,49.0,30.2,95.2,,Autoroute A1 - Saint-Denis,
2025-01-08 15:00:00Z,,12.4,8.9,57.6,39.9,118.8,,Autoroute A1 - Saint-Denis,
2025-01-08 16:00:00Z,,20.2,15.7,76.0,94.3,220.6,,Autoroute A1 - Saint-Denis,
2025-01-08 17:00:00Z,,26.1,16.4,72.5,90.7,211.5,,Autoroute A1 - Saint-Denis,
2025-01-08 18:00:00Z,,11.2,13.9,30.7,31.9,79.6,,Autoroute A1 - Saint-Denis,
2025-01-08 19:00:00Z,,16.8,10.9,26.7,23.2,62.4,,Autoroute A1 - Saint-Denis,
2025-01-08 20:00:00Z,,18.8,11.7,35.1,34.2,87.5,,Autoroute A1 - Saint-Denis,
2025-01-08 21:00:00Z,,20.1,16.9,32.2,28.5,75.8,,Autoroute A1 - Saint-Denis,
2025-01-08 22:00:00Z,,21.9,9.9,29.6,26.4,70.0,,Autoroute A1 - Saint-Denis,
2025-01-08 23:00:00Z,,23.1,13.6,26.8,22.3,61.0,,Autoroute A1 - Saint-Denis,
2025-01-09 00:00:00Z,,18.0,8.9,20.5,14.4,42.5,,Autoroute A1 - Saint-Denis,
2025-01-09 01:00:00Z,,10.5,7.8,17.1,10.1,32.7,,Autoroute A1 - Saint-Denis,
2025-01-09 02:00:00Z,,9.8,5.5,18.5,9.2,32.6,,Autoroute A1 - Saint-Denis,
2025-01-09 03:00:00Z,,5.2,5.5,21.4,12.6,40.7,,Autoroute A1 - Saint-Denis,
2025-01-09 04:00:00Z,,7.6,6.6,29.2,23.7,65.5,,Autoroute A1 - Saint-Denis,
2025-01-09 05:00:00Z,,9.1,7.0,46.7,52.2,126.9,,Autoroute A1 - Saint-Denis,
2025-01-09 06:00:00Z,,23.4,15.5,70.2,112.0,242.1,,Autoroute A1 - Saint-Denis,
2025-01-09 07:00:00Z,,15.7,17.4,58.2,97.7,208.0,,Autoroute A1 - Saint-Denis,
2025-01-09 08:00:00Z,,6.7,10.7,42.1,68.0,146.1,,Autoroute A1 - Saint-Denis,
2025-01-09 09:00:00Z,,9.2,7.7,29.6,39.8,90.1,,Autoroute A1 - Saint-Denis,
2025-01-09 10:00:00Z,,8.7,10.1,32.9,40.0,94.2,,Autoroute A1 - Saint-Denis,
2025-01-09 11:00:00Z,,10.6,8.7,32.0,39.2,91.7,,Autoroute A1 - Saint-Denis,
2025-01-09 12:00:00Z,,7.5,8.8,34.6,39.5,95.2,,Autoroute A1 - Saint-Denis,
2025-01-09 13:00:00Z,,24.5,9.9,34.6,38.6,93.8,,Autoroute A1 - Saint-Denis,
2025-01-09 14:00:00Z,,26.4,15.1,43.8,60.1,136.0,,Autoroute A1 - Saint-Denis,
2025-01-09 15:00:00Z,,28.5,12.0,52.0,78.7,172.3,,Autoroute A1 - Saint-Denis,
2025-01-09 16:00:00Z,,36.4,16.8,66.2,115.0,242.6,,Autoroute A1 - Saint-Denis,
2025-01-09 17:00:00Z,,42.6,14.1,72.3,139.0,285.3,,Autoroute A1 - Saint-Denis,
2025-01-09 18:00:00Z,,76.6,46.4,73.8,144.5,295.3,,Autoroute A1 - Saint-Denis,
2025-01-09 19:00:00Z,,36.4,19.8,66.7,125.3,258.7,,Autoroute A1 - Saint-Denis,
2025-01-09 20:00:00Z,,43.1,23.6,68.1,125.1,259.8,,Autoroute A1 - Saint-Denis,
2025-01-09 21:00:00Z,,33.2,21.4,61.5,108.3,227.4,,Autoroute A1 - Saint-Denis,
2025-01-09 22:00:00Z,,30.1,16.4,58.9,96.8,207.4,,Autoroute A1 - Saint-Denis,
2025-01-09 23:00:00Z,,35.6,15.1,55.3,90.2,193.5,,Autoroute A1 - Saint-Denis,
2025-01-10 00:00:00Z,,30.0,14.5,48.8,76.8,166.7,,Autoroute A1 - Saint-Denis,
2025-01-10 01:00:00Z,,24.3,16.4,43.5,66.4,145.2,,Autoroute A1 - Saint-Denis,
2025-01-10 02:00:00Z,,19.5,8.4,40.7,58.8,130.8,,Autoroute A1 - Saint-Denis,
2025-01-10 03:00:00Z,,26.8,13.9,41.0,43.5,107.7,,Autoroute A1 - Saint-Denis,
2025-01-10 04:00:00Z,,25.5,11.1,42.7,56.6,129.5,,Autoroute A1 - Saint-Denis,
2025-01-10 05:00:00Z,,29.0,17.0,60.1,118.8,242.4,,Autoroute A1 - Saint-Denis,
2025-01-10 06:00:00Z,,49.7,19.8,60.3,134.7,266.6,,Autoroute A1 - Saint-Denis,
2025-01-10 07:00:00Z,,54.9,15.7,61.1,154.7,298.2,,Autoroute A1 - Saint-Denis,
2025-01-10 08:00:00Z,,45.8,18.2,65.8,152.8,299.9,,Autoroute A1 - Saint-Denis,
2025-01-10 09:00:00Z,,63.3,24.9,75.3,167.3,331.6,,Autoroute A1 - Saint-Denis,
2025-01-10 10:00:00Z,,65.0,21.9,76.3,209.0,396.6,,Autoroute A1 - Saint-Denis,
2025-01-10 11:00:00Z,,66.3,24.2,75.8,160.1,321.2,,Autoroute A1 - Saint-Denis,
2025-01-10 12:00:00Z,,36.3,15.3,60.2,87.9,195.0,,Autoroute A1 - Saint-Denis,
2025-01-10 13:00:00Z,,33.2,18.1,55.2,62.1,150.4,,Autoroute A1 - Saint-Denis,
2025-01-10 14:00:00Z,,28.9,17.5,50.4,53.3,131.9,,Autoroute A1 - Saint-Denis,
2025-01-10 15:00:00Z,,37.1,20.6,66.8,85.8,198.3,,Autoroute A1 - Saint-Denis,
2025-01-10 16:00:00Z,,32.0,17.1,73.8,95.4,220.0,,Autoroute A1 - Saint-Denis,
2025-01-10 17:00:00Z,,57.0,20.7,85.7,132.3,288.6,,Autoroute A1 - Saint-Denis,
2025-01-10 18:00:00Z,,49.1,26.9,88.3,154.9,325.8,,Autoroute A1 - Saint-Denis,
2025-01-10 19:00:00Z,,50.9,27.6,78.6,159.3,322.8,,Autoroute A1 - Saint-Denis,
2025-01-10 20:00:00Z,,56.3,31.2,74.7,154.2,311.1,,Autoroute A1 - Saint-Denis,
2025-01-10 21:00:00Z,,48.2,31.0,66.6,131.6,268.2,,Autoroute A1 - Saint-Denis,
2025-01-10 22:00:00Z,,53.9,38.1,66.3,146.0,290.1,,Autoroute A1 - Saint-Denis,
2025-01-10 23:00:00Z,,45.1,31.6,57.9,103.5,216.5,,Autoroute A1 - Saint-Denis,
2025-01-11 00:00:00Z,,38.2,33.4,49.7,73.2,161.8,,Autoroute A1 - Saint-Denis,
2025-01-11 01:00:00Z,,21.7,22.3,33.0,30.1,79.0,,Autoroute A1 - Saint-Denis,
2025-01-11 02:00:00Z,,21.0,18.7,25.2,19.4,54.9,,Autoroute A1 - Saint-Denis,
2025-01-11 03:00:00Z,,20.1,18.0,22.0,15.6,46.1,,Autoroute A1 - Saint-Denis,
2025-01-11 04:00:00Z,,18.0,14.5,24.2,17.2,50.5,,Autoroute A1 - Saint-Denis,
2025-01-11 05:00:00Z,,18.2,15.5,26.3,24.2,63.5,,Autoroute A1 - Saint-Denis,
2025-01-11 06:00:00Z,,18.5,13.1,35.1,30.1,81.4,,Autoroute A1 - Saint-Denis,
2025-01-11 07:00:00Z,,20.7,15.6,38.9,40.5,101.0,,Autoroute A1 - Saint-Denis,
2025-01-11 08:00:00Z,,22.8,16.7,43.9,42.2,108.6,,Autoroute A1 - Saint-Denis,
2025-01-11 09:00:00Z,,23.4,15.9,50.6,51.8,130.2,,Autoroute A1 - Saint-Denis,
2025-01-11 10:00:00Z,,26.6,18.1,54.0,60.9,147.2,,Autoroute A1 - Saint-Denis,
2025-01-11 11:00:00Z,,30.5,19.0,56.5,67.8,159.8,,Autoroute A1 - Saint-Denis,
2025-01-11 12:00:00Z,,29.6,15.8,47.0,57.8,136.1,,Autoroute A1 - Saint-Denis,
2025-01-11 13:00:00Z,,27.9,20.9,45.6,62.5,141.0,,Autoroute A1 - Saint-Denis,
